atInvalid	0
atRunSpeedBase	1
atMoveSpeedPercent	2
atMaxJumpCount	3
atGravityBase	4
atGravityPercent	5
atJumpSpeedBase	6
atJumpSpeedPercent	7
atDropDefence	8
atDivingFrameBase	9
atDivingFramePercent	10
atWaterFlyAbility	11
atStrengthBase	12
atStrengthBasePercentAdd	13
atAgilityBase	14
atAgilityBasePercentAdd	15
atVitalityBase	16
atVitalityBasePercentAdd	17
atSpiritBase	18
atSpiritBasePercentAdd	19
atSpunkBase	20
atSpunkBasePercentAdd	21
atTransmitTrain	22
atMaxTrainValue	23
atBaseVenationCof	24
atPhysicsVenationCof	25
atMagicVenationCof	26
atAssistVenationCof	27
atBasePotentialAdd	28
atCurrentLife	29
atMaxLifeBase	30
atMaxLifePercentAdd	31
atMaxLifeAdditional	32
atLifeReplenish	33
atLifeReplenishPercent	34
atLifeReplenishCoefficient	35
atLifeReplenishExt	36
atCurrentMana	37
atMaxManaBase	38
atMaxManaPercentAdd	39
atMaxManaAdditional	40
atManaPercentAdd	41
atManaReplenish	42
atManaReplenishPercent	43
atManaReplenishCoefficient	44
atManaReplenishExt	45
atCurrentRage	46
atMaxRage	47
atRageReplenish	48
atCurrentEnergy	49
atMaxEnergy	50
atEnergyReplenish	51
atSunPowerValue	52
atMoonPowerValue	53
atCurrentSunEnergy	54
atMaxSunEnergy	55
atSunEnergyAddPercent	56
atSunEnergyReplenish	57
atSunEnergyFallOff	58
atCurrentMoonEnergy	59
atMaxMoonEnergy	60
atMoonEnergyAddPercent	61
atMoonEnergyReplenish	62
atMoonEnergyFallOff	63
atCurrentStamina	64
atCurrentThew	65
atActiveThreatCoefficient	66
atPassiveThreatCoefficient	67
atDodge	68
atDodgeBaseRate	69
atParryBaseRate	70
atParryBase	71
atParryPercent	72
atParryValueBase	73
atParryValuePercent	74
atSense	75
atStrainBase	76
atStrainPercent	77
atToughnessBaseRate	78
atToughnessBase	79
atToughnessPercent	80
atDecriticalDamagePowerBaseKiloNumRate	81
atDecriticalDamagePowerBase	82
atDecriticalDamagePowerPercent	83
atPositiveShield	84
atNegativeShield	85
atGlobalResistPercent	86
atGlobalBlock	87
atGlobalTherapyAbsorb	88
atGlobalDamageAbsorb	89
atGlobalDamageAbsorbBySelfMaxLife	90
atGlobalDamageAbsorbBySelfSpirit	91
atGlobalDamageAbsorbBySelfAgility	92
atGlobalDamageAbsorbBySelfVitality	93
atGlobalDamageManaShield	94
atDamageToLifeForSelf	95
atDamageToManaForSelf	96
atBeatBackRate	97
atKnockedBackRate	98
atKnockedOffRate	99
atKnockedDownRate	100
atPullRate	101
atRepulsedRate	102
atImmortal	103
atMountingRate	104
atMeleeWeaponDamageBase	105
atMeleeWeaponDamagePercent	106
atMeleeWeaponDamageRand	107
atMeleeWeaponDamageRandPercent	108
atRangeWeaponDamageBase	109
atRangeWeaponDamagePercent	110
atRangeWeaponDamageRand	111
atRangeWeaponDamageRandPercent	112
atSkillPhysicsDamage	113
atSkillPhysicsDamageRand	114
atSkillPhysicsDamagePercent	115
atPhysicsDamageCoefficient	116
