GetFellowshipIDListFunc	1	1	0	0	0	DRIFT
GetSkillRecipeTraverseFunc	1	0	1	0	0	NEW
KAIAction	4	4	0	0	0	DRIFT
KAILogic	11	11	0	0	0	DRIFT
KAIManager	10	10	0	0	0	DRIFT
KAIPatrolGroupManager	14	14	1	0	0	DRIFT
KAIState	3	3	0	0	0	DRIFT
KAIVM	11	11	0	0	0	DRIFT
KAchievement	17	12	2	3	0	DRIFT
KAchievementInfoList	6	5	1	0	0	DRIFT
KActivityEndNotifySceneFunc	1	0	1	0	0	NEW
KActivityMgrServer	12	0	10	2	0	NEW
KAntiFarmer	6	6	0	0	0	DRIFT
KAntiFarmerServer	8	0	5	3	0	NEW
KAntiFarmerSettings	5	0	3	2	0	NEW
KBUFF_LIST_NODE	4	4	0	0	0	DRIFT
KBandwidthOptimizeTacticsManager	2	0	2	0	0	NEW
KBaseObject	2	2	0	0	0	DRIFT
KBookList	9	9	0	0	0	DRIFT
KBroadcastBeHitFunc	2	2	0	0	0	DRIFT
KBroadcastCastSkillFunc	2	0	2	0	0	NEW
KBroadcastFunc	2	2	0	0	0	DRIFT
KBroadcastTalkFunc	2	2	0	0	0	DRIFT
KBroadcastTargetFunc	1	1	0	0	0	DRIFT
KBuff	5	5	0	0	0	DRIFT
KBuffList	40	36	4	0	0	DRIFT
KBuffManager	12	12	0	0	0	DRIFT
KBuffRecipePointer	5	5	0	0	0	DRIFT
KCDTimerList	10	10	0	0	0	DRIFT
KCampActiveStat	7	0	3	4	0	NEW
KCampInfo	27	17	10	1	0	DRIFT
KCenterRemote	11	4	0	7	0	DRIFT
KCharacter	263	210	52	2	0	DRIFT
KCharacterActionList	4	4	0	0	0	DRIFT
KCharacterCounterStealthChangedFunc	2	0	2	0	0	NEW
KCharacterDisarmChangedFunc	2	0	2	0	0	NEW
KCharacterStealthChangedFunc	2	0	2	0	0	NEW
KCoolDownList	3	3	0	0	0	DRIFT
KCraft	17	17	0	0	0	DRIFT
KCraftCollection	1	1	0	0	0	DRIFT
KCraftCopy	2	2	0	0	0	DRIFT
KCraftEnchant	2	2	0	0	0	DRIFT
KCraftRead	2	2	0	0	0	DRIFT
KCraftRecipe	2	2	0	0	0	DRIFT
KCurrency	7	7	0	0	0	DRIFT
KCurrencyList	8	8	0	0	0	DRIFT
KDeleteSceneFunc	1	1	0	0	0	DRIFT
KDesignation	31	31	1	0	0	DRIFT
KDesignationList	6	6	0	0	0	DRIFT
KDiamondManager	27	0	25	2	0	NEW
KDirectMentorCache	18	0	4	14	0	NEW
KDomesticate	38	0	31	7	0	NEW
KDomesticateCenter	10	0	8	2	0	NEW
KDoodad	61	57	3	0	1	DRIFT
KDoodadClassList	6	6	0	0	0	DRIFT
KDoodadFile	8	8	0	0	0	DRIFT
KDoodadReviveManager	16	14	1	1	0	DRIFT
KDoodadTemplateList	9	9	0	0	0	DRIFT
KDropCenter	33	22	11	0	0	DRIFT
KDropList	8	6	2	0	0	DRIFT
KEscortQuestManager	18	18	0	0	0	DRIFT
KExterior	34	11	19	5	0	DRIFT
KExteriorBox	42	33	17	1	0	DRIFT
KFellowPetBox	16	0	6	10	0	NEW
KFellowPetMgr	8	0	5	3	0	NEW
KFightFlagList	4	4	0	0	0	DRIFT
KGFellowshipMgr	30	31	0	0	0	DRIFT
KGJumpList	6	0	4	2	0	NEW
KGMList	6	3	4	0	0	DRIFT
KGMoveParam	2	0	1	1	0	NEW
KGMoveProcessor	22	0	3	19	0	NEW
KGPQ	9	9	0	0	0	DRIFT
KGPQList	5	5	0	0	0	DRIFT
KGPQManager	7	7	0	0	0	DRIFT
KGWConstList	4	3	1	0	0	DRIFT
KGWServerConstList	3	0	0	3	0	NEW
KG_AsyncSocketStream	12	11	1	0	0	DRIFT
KG_Buffer	4	4	0	0	0	DRIFT
KG_BufferedSocketConnector	2	2	0	0	0	DRIFT
KG_BufferedSocketStream	2	2	0	0	0	DRIFT
KG_GET_USER_SKILL_RECIPE	1	1	0	0	0	DRIFT
KG_Memory_Debug	3	3	0	0	0	DRIFT
KG_Packager	5	5	0	0	0	DRIFT
KG_Packer	3	3	0	0	0	DRIFT
KG_SecuritySocketStream	4	4	0	0	0	DRIFT
KG_SocketAcceptor	7	7	0	0	0	DRIFT
KG_SocketConnector	6	6	0	0	0	DRIFT
KG_SocketServerAcceptor	7	5	1	1	0	DRIFT
KG_SocketStream	9	9	0	0	0	DRIFT
KGameCardInfoList	5	5	0	0	0	DRIFT
KGameServerEyes	11	11	0	0	0	DRIFT
KGetAllCopyIndexByMapIDFunc	1	0	1	0	0	NEW
KGetAllTeamMember	1	1	0	0	0	DRIFT
KGetMapInfoFunc	1	1	0	0	0	DRIFT
KGetSceneFunc	1	1	0	0	0	DRIFT
KGlobalSystemValueCache	1	1	0	0	0	DRIFT
KHairBox	14	14	3	0	0	DRIFT
KHairShop	21	13	8	0	0	DRIFT
KIndividualDropList	6	6	0	0	0	DRIFT
KInventory	6	8	0	0	0	DRIFT
KItemList	161	94	70	0	0	DRIFT
KLevelDropList	6	7	2	0	0	DRIFT
KLevelMoneyDropList	6	6	0	0	0	DRIFT
KLevelUpList	7	7	0	0	0	DRIFT
KLocalGSDataStat	13	0	13	0	0	NEW
KLogClient	59	24	41	0	0	DRIFT
KLootList	34	32	3	0	0	DRIFT
KManualDropList	13	0	5	8	0	NEW
KMapListFile	3	3	0	0	0	DRIFT
KMentorCache	16	14	2	0	0	DRIFT
KMiniAvatar	14	12	3	0	0	DRIFT
KMiniAvatarSettings	8	5	3	0	0	DRIFT
KModelInfo	5	0	2	3	0	NEW
KMoneyDropList	7	5	2	0	0	DRIFT
KMoveProcessTraverseFunc	1	0	1	0	0	NEW
KNewExtPointManager	12	0	10	2	0	NEW
KNpc	86	67	22	1	0	DRIFT
KNpcAdronTab	6	0	4	2	0	NEW
KNpcClassList	7	7	0	0	0	DRIFT
KNpcFile	8	8	0	0	0	DRIFT
KNpcOrderManager	4	4	0	0	0	DRIFT
KNpcReviveManager	22	20	1	1	0	DRIFT
KNpcTeamList	8	8	0	0	0	DRIFT
KNpcTemplate	1	0	1	0	0	NEW
KNpcTemplateList	14	9	5	0	0	DRIFT
KPKController	29	34	3	0	0	DRIFT
KPatrolGroup	1	1	0	0	0	DRIFT
KPatrolPath	10	10	0	0	0	DRIFT
KPatrolPathList	9	9	0	0	0	DRIFT
KPendentOldDataInfoList	2	0	0	2	0	NEW
KPlayer	720	420	319	2	1	DRIFT
KPlayerRelatedPetAttrExportParam	3	0	3	0	0	NEW
KPlayerRelatedPetAttrImportParam	3	0	3	0	0	NEW
KPlayerServer	560	400	182	1	0	DRIFT
KProfession	5	5	0	0	0	DRIFT
KProfessionList	20	20	0	0	0	DRIFT
KProfessionManager	18	18	0	0	0	DRIFT
KProtocolRecorder	5	5	0	0	0	DRIFT
KProtocolReplayer	6	6	0	0	0	DRIFT
KQuestInfo	1	1	0	0	0	DRIFT
KQuestInfoList	13	8	5	0	0	DRIFT
KQuestList	62	58	4	0	0	DRIFT
KRankListServer	5	7	0	0	0	DRIFT
KRecipeBase	2	2	0	0	0	DRIFT
KRecipeList	13	12	1	0	0	DRIFT
KRecipeMaster	7	7	0	0	0	DRIFT
KRecorderAsyncSocketStreamRecord	13	13	0	0	0	DRIFT
KRecorderAsyncSocketStreamReplay	13	13	0	0	0	DRIFT
KRecorderFactoryNormal	7	7	0	0	0	DRIFT
KRecorderFactoryRecord	7	7	0	0	0	DRIFT
KRecorderFactoryReplay	7	7	0	0	0	DRIFT
KRecorderSceneLoaderNormal	10	9	1	0	0	DRIFT
KRecorderSceneLoaderRecord	10	9	1	0	0	DRIFT
KRecorderSceneLoaderReplay	6	5	1	0	0	DRIFT
KRecorderSocketClientNormal	4	4	0	0	0	DRIFT
KRecorderSocketClientRecord	4	4	0	0	0	DRIFT
KRecorderSocketClientReplay	4	4	0	0	0	DRIFT
KRecorderSocketServerNormal	6	6	0	0	0	DRIFT
KRecorderSocketServerRecord	6	6	0	0	0	DRIFT
KRecorderSocketServerReplay	6	6	0	0	0	DRIFT
KRecorderSocketStreamRecord	13	13	0	0	0	DRIFT
KRecorderSocketStreamReplay	13	13	0	0	0	DRIFT
KRecorderToolsNormal	3	3	0	0	0	DRIFT
KRecorderToolsRecord	3	3	0	0	0	DRIFT
KRecorderToolsReplay	3	3	0	0	0	DRIFT
KRegion	40	43	0	0	0	DRIFT
KRegisterNewDoodadFunc	1	1	0	0	0	DRIFT
KRegisterNewNpcFunc	1	1	0	0	0	DRIFT
KRegressionManager	12	10	2	0	0	DRIFT
KRegressionPlayerData	12	5	9	0	0	DRIFT
KRelationList	4	4	0	0	0	DRIFT
KRelayClient	374	240	152	2	0	DRIFT
KReputation	13	13	2	0	0	DRIFT
KReputationLimit	6	6	0	0	0	DRIFT
KReputeLootBuffList	4	0	2	2	0	NEW
KRewardsBox	9	0	5	4	0	NEW
KRewardsShop	12	0	10	2	0	NEW
KRewardsShopSettings	7	0	5	2	0	NEW
KRoadManager	30	28	2	0	0	DRIFT
KSO3GameServer	6	6	0	0	0	DRIFT
KSO3World	26	21	5	0	0	DRIFT
KScene	148	108	41	0	0	DRIFT
KSceneObjNode	2	2	0	0	0	DRIFT
KSceneObject	9	10	0	0	0	DRIFT
KScriptCenter	34	27	7	0	0	DRIFT
KScriptFuncList	217	96	121	1	0	DRIFT
KScriptServer	13	13	0	0	0	DRIFT
KSearchBustupCharacterList	1	1	0	0	0	DRIFT
KSearchForAnyCharacter	1	1	0	0	0	DRIFT
KSearchForAnyDoodad	1	1	0	0	0	DRIFT
KSearchForAnyVisiblePlayer	1	1	0	0	0	DRIFT
KSearchForCharacter	1	1	0	0	0	DRIFT
KSearchForMultiCharacterAddThreatList	1	1	0	0	0	DRIFT
KSearchForTeamMember	1	1	0	0	0	DRIFT
KSearchVisiblePlayerClosest	1	1	0	0	0	DRIFT
KShop	20	14	6	0	0	DRIFT
KShopCenter	19	14	6	1	0	DRIFT
KSimpThreatList	32	32	2	0	0	DRIFT
KSimpThreatNode	1	1	0	0	0	DRIFT
KSkill	71	63	8	0	0	DRIFT
